lat,lon,fault_probability,predicted_fault
51.504170507,-2.501413375,0.9998860359191895,1
51.498478856,-2.548379917,0.42892494797706604,1
51.505556195,-2.491155748,0.5739335417747498,1
51.502812492,-2.550257138,0.5119290351867676,1
51.503802178,-2.504213718,0.9998831748962402,1
51.506187158,-2.538232342,0.44203639030456543,1
51.504142426,-2.501401712,0.9998781681060791,1
51.500320767,-2.552306749,0.9998780488967896,1
51.500409159,-2.552512377,0.9998972415924072,1
51.498467073,-2.548421012,0.4327984154224396,1
51.500360605,-2.55240591,0.9998840093612671,1
51.505516397,-2.491253035,0.6252931356430054,1
51.505448423,-2.491181424,0.524825394153595,1
51.504177752,-2.501358679,0.999858021736145,1
51.506160864,-2.53815911,0.432084321975708,1
51.500372534,-2.552526614,0.5682217478752136,1
51.504116258,-2.501472037,0.9998979568481445,1
